train_loss↓_step,train_llk,train_ellk,train_kl_z,train_ellk_lbd,train_kl_lbd,train_kl_lbd_ood,train_loss,train_loss↓,train_loss↓_epoch,eval_loss↓,val_llk,val_ellk,val_kl_z,val_ellk_lbd,val_kl_lbd,val_kl_lbd_ood,test_loss↓,test_elbo↑,test_expected_log_likelihood↑,test_mean_fit_mae↓,test_mean_fit_rmse↓,test_variance_fit_mae↓,test_variance_fit_rmse↓,test_sample_fit_mae↓,test_sample_fit_rmse↓,test_ood_sample_fit_mae↓,test_ood_sample_fit_rmse↓,test_ood_sample_mean_mse↑
8450.2158203125,-676952.5,-6044.21923828125,16.279998779296875,1376.6744384765625,7420.89453125,2389.716552734375,8450.2158203125,8450.2158203125,8589.6875,7464.82470703125,-951369.5625,-7448.7138671875,16.110492706298828,-142.34738159179688,7306.36669921875,-1.0,6779.25537109375,-6779.25537109375,-6763.193359375,0.05976627767086029,0.11615949869155884,1.083149790763855,20.136028289794922,0.07292946428060532,0.1540018618106842,0.21955186128616333,0.2892301678657532,0.21789157390594482
8787.685546875,-660984.3125,-5901.64599609375,15.388582229614258,1424.7191162109375,7326.365234375,2870.65087890625,8787.685546875,8787.685546875,9002.03515625,6617.22509765625,-843194.375,-6601.6513671875,15.573360443115234,745.2050170898438,7346.85595703125,-1.0,7335.01513671875,-7335.01513671875,-7319.45263671875,0.06028638780117035,0.11716296523809433,1.053170919418335,19.83115577697754,0.07338458299636841,0.15776661038398743,0.21860288083553314,0.29026761651039124,0.21480780839920044
8820.8076171875,-707440.9375,-6316.43701171875,16.29084014892578,1225.48388671875,7541.9208984375,2488.079345703125,8820.8076171875,8820.8076171875,8254.48828125,13327.568359375,-1702020.375,-13311.404296875,16.164554595947266,-6029.3671875,7282.03466796875,-1.0,6885.38720703125,-6885.38720703125,-6869.265625,0.059437647461891174,0.1161583885550499,1.5797408819198608,23.187286376953125,0.07331915199756622,0.15922875702381134,0.2194681167602539,0.29190221428871155,0.21443332731723785
9169.693359375,-697235.125,-6225.31396484375,15.56103801727295,1178.127197265625,7403.44140625,2928.818115234375,9169.693359375,9169.693359375,9199.865234375,8429.3056640625,-1074754.5,-8413.42578125,15.880460739135742,-1076.030029296875,7337.39599609375,-1.0,6906.62744140625,-6906.62744140625,-6890.72802734375,0.06069141998887062,0.11729887872934341,1.502029538154602,23.036130905151367,0.07430488616228104,0.1593797355890274,0.21712292730808258,0.2884053587913513,0.21167157590389252
8873.2158203125,-655456.5,-5852.29052734375,15.635383605957031,1453.614013671875,7305.90478515625,3005.289306640625,8873.2158203125,8873.2158203125,9124.9677734375,15242.1416015625,-1947024.25,-15226.603515625,15.537311553955078,-7808.0654296875,7418.53857421875,-1.0,8132.23046875,-8132.23046875,-8116.71826171875,0.06019306182861328,0.11736508458852768,1.3835726976394653,20.205244064331055,0.07416733354330063,0.15519072115421295,0.22037875652313232,0.28973206877708435,0.21304479241371155
8863.5126953125,-665722.75,-5943.95361328125,15.622650146484375,1429.031005859375,7372.9853515625,2903.9365234375,8863.5126953125,8863.5126953125,9191.876953125,8768.18359375,-1118645.75,-8752.7666015625,15.41769790649414,-1258.679931640625,7494.08642578125,-1.0,7534.82080078125,-7534.82080078125,-7519.43701171875,0.060136061161756516,0.11738628894090652,1.3045533895492554,24.143779754638672,0.07486630976200104,0.16308991611003876,0.22204911708831787,0.2956313192844391,0.21884919703006744
8393.255859375,-670974.1875,-5990.84130859375,15.67155933380127,1463.15380859375,7453.99462890625,2386.74365234375,8393.255859375,8393.255859375,8556.7451171875,7009.01953125,-893329.5625,-6993.12548828125,15.894024848937988,386.94879150390625,7380.07470703125,-1.0,6816.22412109375,-6816.22412109375,-6800.36181640625,0.059628259390592575,0.116501584649086,1.3265769481658936,24.41914939880371,0.07356901466846466,0.15540790557861328,0.22080205380916595,0.2905568778514862,0.21359089016914368
9796.505859375,-727156.1875,-6492.46630859375,16.01345443725586,984.7166748046875,7477.18359375,3288.026611328125,9796.505859375,9796.505859375,9105.6728515625,7301.0107421875,-930592.5,-7285.05859375,15.951912879943848,51.428585052490234,7336.4873046875,-1.0,7571.86328125,-7571.86328125,-7555.94873046875,0.05980784818530083,0.11676587164402008,1.5649919509887695,28.156328201293945,0.07329222559928894,0.15681961178779602,0.2212315946817398,0.2923416197299957,0.21472692489624023
9594.1787109375,-716676.125,-6398.89404296875,16.165706634521484,1081.1837158203125,7480.0771484375,3179.118896484375,9594.1787109375,9594.1787109375,9117.953125,6847.2724609375,-872279.625,-6831.3134765625,15.95924186706543,580.1527709960938,7411.4658203125,-1.0,6861.62158203125,-6861.62158203125,-6845.64501953125,0.05976142734289169,0.11659294366836548,0.994214653968811,21.260902404785156,0.07387467473745346,0.16085495054721832,0.21976014971733093,0.2929428219795227,0.21369287371635437
8746.5458984375,-674619.25,-6023.38623046875,15.84334659576416,1315.79296875,7339.18017578125,2707.31640625,8746.5458984375,8746.5458984375,8813.9169921875,10229.275390625,-1305291.875,-10213.3193359375,15.956417083740234,-2863.793701171875,7349.525390625,-1.0,18699.333984375,-18699.333984375,-18683.3671875,0.059551745653152466,0.11671864986419678,0.8925625681877136,22.763511657714844,0.07247330248355865,0.15554620325565338,0.22036965191364288,0.29143133759498596,0.21122583746910095
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8949.56171875,-685321.7875,-6118.94482421875,15.847255992889405,1293.2496826171875,7412.194775390625,2814.76962890625,8949.56171875,8949.56171875,8895.7208984375,9123.58271484375,-1163850.2375,-9107.738232421874,15.844547462463378,-1741.4548496246339,7366.283154296875,-1.0,8352.237939453125,-8352.237939453125,-8336.411767578125,0.05992601364850998,0.1168110154569149,1.268456333875656,22.713951683044435,0.07361809462308884,0.1577286273241043,0.21993371099233627,0.2912441402673721,0.2143934801220894
451.8303499534421,24996.020074874057,223.17868027651727,0.32172980406394885,168.5832405535388,76.80621203773939,316.0959602169777,451.8303499534421,451.8303499534421,327.27293939165554,2961.7784570936933,379114.1887325977,2961.801178018075,0.25037816093669263,2962.7404629863577,61.79201097769745,0.0,3662.4170523030734,3662.4170523030734,3662.3899037856213,0.00038943749434639267,0.0004718850460276305,0.24821845462418107,2.5443409643098613,0.0007019397746391082,0.0028829014526618015,0.0013890803836505308,0.0020984777097790524,0.0024214595111075386
